LOCATION,INDICATOR,SUBJECT,MEASURE,FREQUENCY,TIME,Value,Flag Codes
NLD,CCI,AMPLITUD,LTRENDIDX,M,1998-03,101.7548,
NLD,CCI,AMPLITUD,LTRENDIDX,M,1998-04,101.7608,
NLD,CCI,AMPLITUD,LTRENDIDX,M,1998-05,101.7891,
NLD,CCI,AMPLITUD,LTRENDIDX,M,1998-06,101.7598,
NLD,CCI,AMPLITUD,LTRENDIDX,M,1998-07,101.6566,
NLD,CCI,AMPLITUD,LTRENDIDX,M,1998-08,101.3879,
NLD,CCI,AMPLITUD,LTRENDIDX,M,1998-09,101.0462,
NLD,CCI,AMPLITUD,LTRENDIDX,M,1998-10,100.8165,
NLD,CCI,AMPLITUD,LTRENDIDX,M,1998-11,100.8015,
NLD,CCI,AMPLITUD,LTRENDIDX,M,1998-12,100.843,
NLD,CCI,AMPLITUD,LTRENDIDX,M,1999-01,100.8009,
NLD,CCI,AMPLITUD,LTRENDIDX,M,1999-02,100.7281,
NLD,CCI,AMPLITUD,LTRENDIDX,M,1999-03,100.6845,
NLD,CCI,AMPLITUD,LTRENDIDX,M,1999-04,100.7254,
NLD,CCI,AMPLITUD,LTRENDIDX,M,1999-05,100.7771,
NLD,CCI,AMPLITUD,LTRENDIDX,M,1999-06,100.8602,
NLD,CCI,AMPLITUD,LTRENDIDX,M,1999-07,100.9661,
NLD,CCI,AMPLITUD,LTRENDIDX,M,1999-08,101.1417,
NLD,CCI,AMPLITUD,LTRENDIDX,M,1999-09,101.3597,
NLD,CCI,AMPLITUD,LTRENDIDX,M,1999-10,101.5593,
NLD,CCI,AMPLITUD,LTRENDIDX,M,1999-11,101.644,
NLD,CCI,AMPLITUD,LTRENDIDX,M,1999-12,101.739,
NLD,CCI,AMPLITUD,LTRENDIDX,M,2000-01,101.8175,
NLD,CCI,AMPLITUD,LTRENDIDX,M,2000-02,101.8586,
NLD,CCI,AMPLITUD,LTRENDIDX,M,2000-03,101.8886,
NLD,CCI,AMPLITUD,LTRENDIDX,M,2000-04,101.8798,
NLD,CCI,AMPLITUD,LTRENDIDX,M,2000-05,101.8289,
NLD,CCI,AMPLITUD,LTRENDIDX,M,2000-06,101.7893,
NLD,CCI,AMPLITUD,LTRENDIDX,M,2000-07,101.7182,
NLD,CCI,AMPLITUD,LTRENDIDX,M,2000-08,101.6965,
NLD,CCI,AMPLITUD,LTRENDIDX,M,2000-09,101.7112,
NLD,CCI,AMPLITUD,LTRENDIDX,M,2000-10,101.7496,
NLD,CCI,AMPLITUD,LTRENDIDX,M,2000-11,101.7121,
NLD,CCI,AMPLITUD,LTRENDIDX,M,2000-12,101.5785,
NLD,CCI,AMPLITUD,LTRENDIDX,M,2001-01,101.3489,
NLD,CCI,AMPLITUD,LTRENDIDX,M,2001-02,101.1053,
NLD,CCI,AMPLITUD,LTRENDIDX,M,2001-03,100.8813,
NLD,CCI,AMPLITUD,LTRENDIDX,M,2001-04,100.7011,
NLD,CCI,AMPLITUD,LTRENDIDX,M,2001-05,100.5515,
NLD,CCI,AMPLITUD,LTRENDIDX,M,2001-06,100.3576,
NLD,CCI,AMPLITUD,LTRENDIDX,M,2001-07,100.2288,
NLD,CCI,AMPLITUD,LTRENDIDX,M,2001-08,100.124,
NLD,CCI,AMPLITUD,LTRENDIDX,M,2001-09,100.0525,
NLD,CCI,AMPLITUD,LTRENDIDX,M,2001-10,100.0107,
NLD,CCI,AMPLITUD,LTRENDIDX,M,2001-11,100.1501,
NLD,CCI,AMPLITUD,LTRENDIDX,M,2001-12,100.4338,
NLD,CCI,AMPLITUD,LTRENDIDX,M,2002-01,100.7381,
NLD,CCI,AMPLITUD,LTRENDIDX,M,2002-02,100.845,
NLD,CCI,AMPLITUD,LTRENDIDX,M,2002-03,100.786,
NLD,CCI,AMPLITUD,LTRENDIDX,M,2002-04,100.5915,
NLD,CCI,AMPLITUD,LTRENDIDX,M,2002-05,100.3737,
NLD,CCI,AMPLITUD,LTRENDIDX,M,2002-06,100.1609,
NLD,CCI,AMPLITUD,LTRENDIDX,M,2002-07,99.95892,
NLD,CCI,AMPLITUD,LTRENDIDX,M,2002-08,99.75984,
NLD,CCI,AMPLITUD,LTRENDIDX,M,2002-09,99.58781,
NLD,CCI,AMPLITUD,LTRENDIDX,M,2002-10,99.48196,
NLD,CCI,AMPLITUD,LTRENDIDX,M,2002-11,99.38006,
NLD,CCI,AMPLITUD,LTRENDIDX,M,2002-12,99.17646,
NLD,CCI,AMPLITUD,LTRENDIDX,M,2003-01,98.89598,
NLD,CCI,AMPLITUD,LTRENDIDX,M,2003-02,98.7534,
NLD,CCI,AMPLITUD,LTRENDIDX,M,2003-03,98.73727,
NLD,CCI,AMPLITUD,LTRENDIDX,M,2003-04,98.81257,
