Month	Price	Change
Aug 1995	383.67	-
Sep 1995	383.06	-0.16 %
Oct 1995	383.14	0.02 %
Nov 1995	385.31	0.57 %
Dec 1995	387.44	0.55 %
Jan 1996	399.45	3.10 %
Feb 1996	404.76	1.33 %
Mar 1996	396.21	-2.11 %
Apr 1996	392.85	-0.85 %
May 1996	391.93	-0.23 %
Jun 1996	385.27	-1.70 %
Jul 1996	383.47	-0.47 %
Aug 1996	387.35	1.01 %
Sep 1996	383.14	-1.09 %
Oct 1996	381.07	-0.54 %
Nov 1996	377.85	-0.84 %
Dec 1996	369.00	-2.34 %
Jan 1997	355.11	-3.76 %
Feb 1997	346.58	-2.40 %
Mar 1997	351.81	1.51 %
Apr 1997	344.47	-2.09 %
May 1997	343.84	-0.18 %
Jun 1997	340.76	-0.90 %
Jul 1997	324.10	-4.89 %
Aug 1997	324.01	-0.03 %
Sep 1997	322.82	-0.37 %
Oct 1997	324.87	0.64 %
Nov 1997	306.04	-5.80 %
Dec 1997	288.74	-5.65 %
Jan 1998	289.10	0.12 %
Feb 1998	297.49	2.90 %
Mar 1998	295.94	-0.52 %
Apr 1998	308.29	4.17 %
May 1998	299.10	-2.98 %
Jun 1998	292.32	-2.27 %
Jul 1998	292.87	0.19 %
Aug 1998	284.11	-2.99 %
Sep 1998	288.98	1.71 %
Oct 1998	295.93	2.41 %
Nov 1998	294.12	-0.61 %
Dec 1998	291.68	-0.83 %
Jan 1999	287.08	-1.58 %
Feb 1999	287.33	0.09 %
Mar 1999	285.96	-0.48 %
Apr 1999	282.62	-1.17 %
May 1999	276.44	-2.19 %
Jun 1999	261.31	-5.47 %
Jul 1999	256.08	-2.00 %
Aug 1999	256.69	0.24 %
Sep 1999	264.74	3.14 %
Oct 1999	310.72	17.37 %
Nov 1999	293.18	-5.64 %
Dec 1999	283.07	-3.45 %
Jan 2000	284.32	0.44 %
Feb 2000	299.86	5.47 %
Mar 2000	286.39	-4.49 %
Apr 2000	279.69	-2.34 %
May 2000	275.19	-1.61 %
Jun 2000	285.73	3.83 %
Jul 2000	281.59	-1.45 %
Aug 2000	274.47	-2.53 %
Sep 2000	273.68	-0.29 %
Oct 2000	270.00	-1.34 %
Nov 2000	266.01	-1.48 %
Dec 2000	271.45	2.05 %
Jan 2001	265.49	-2.20 %
Feb 2001	261.87	-1.36 %
Mar 2001	263.03	0.44 %
Apr 2001	260.48	-0.97 %
May 2001	272.36	4.56 %
Jun 2001	270.23	-0.78 %
Jul 2001	267.53	-1.00 %
Aug 2001	272.39	1.82 %
Sep 2001	283.42	4.05 %
Oct 2001	283.06	-0.13 %
Nov 2001	276.16	-2.44 %
Dec 2001	275.85	-0.11 %
Jan 2002	281.51	2.05 %
Feb 2002	295.50	4.97 %
Mar 2002	294.06	-0.49 %
Apr 2002	302.68	2.93 %
May 2002	314.49	3.90 %
Jun 2002	321.18	2.13 %
Jul 2002	313.29	-2.46 %
Aug 2002	310.26	-0.97 %
Sep 2002	319.14	2.86 %
Oct 2002	316.56	-0.81 %
Nov 2002	319.07	0.79 %
Dec 2002	331.92	4.03 %
Jan 2003	356.86	7.51 %
Feb 2003	358.97	0.59 %
Mar 2003	340.55	-5.13 %
Apr 2003	328.18	-3.63 %
May 2003	355.68	8.38 %
Jun 2003	356.35	0.19 %
Jul 2003	351.02	-1.50 %
Aug 2003	359.77	2.49 %
Sep 2003	378.95	5.33 %
Oct 2003	378.92	-0.01 %
Nov 2003	389.91	2.90 %
Dec 2003	406.95	4.37 %
Jan 2004	413.79	1.68 %
Feb 2004	404.88	-2.15 %
Mar 2004	406.67	0.44 %
Apr 2004	403.26	-0.84 %
May 2004	383.78	-4.83 %
Jun 2004	392.37	2.24 %
Jul 2004	398.09	1.46 %
Aug 2004	400.51	0.61 %
Sep 2004	405.28	1.19 %
Oct 2004	420.46	3.75 %
Nov 2004	439.38	4.50 %
Dec 2004	442.08	0.61 %
Jan 2005	424.03	-4.08 %
Feb 2005	423.35	-0.16 %
Mar 2005	433.85	2.48 %
Apr 2005	429.23	-1.06 %
May 2005	421.87	-1.71 %
Jun 2005	430.66	2.08 %
Jul 2005	424.48	-1.44 %
Aug 2005	437.93	3.17 %
Sep 2005	456.05	4.14 %
Oct 2005	469.90	3.04 %
Nov 2005	476.67	1.44 %
Dec 2005	510.10	7.01 %
Jan 2006	549.86	7.79 %
Feb 2006	555.00	0.93 %
Mar 2006	557.09	0.38 %
Apr 2006	610.65	9.61 %
May 2006	675.39	10.60 %
Jun 2006	596.15	-11.73 %
Jul 2006	633.71	6.30 %
Aug 2006	632.59	-0.18 %
Sep 2006	598.19	-5.44 %
Oct 2006	585.78	-2.07 %
Nov 2006	627.83	7.18 %
Dec 2006	629.79	0.31 %
Jan 2007	631.17	0.22 %
Feb 2007	664.75	5.32 %
Mar 2007	654.90	-1.48 %
Apr 2007	679.37	3.74 %
May 2007	667.31	-1.78 %
Jun 2007	655.66	-1.75 %
Jul 2007	665.38	1.48 %
Aug 2007	665.41	0.00 %
Sep 2007	712.65	7.10 %
Oct 2007	754.60	5.89 %
Nov 2007	806.25	6.84 %
Dec 2007	803.20	-0.38 %
Jan 2008	889.60	10.76 %
Feb 2008	922.30	3.68 %
Mar 2008	968.43	5.00 %
Apr 2008	909.71	-6.06 %
May 2008	888.66	-2.31 %
Jun 2008	889.49	0.09 %
Jul 2008	939.77	5.65 %
Aug 2008	839.03	-10.72 %
Sep 2008	829.93	-1.08 %
Oct 2008	806.62	-2.81 %
Nov 2008	760.86	-5.67 %
Dec 2008	816.09	7.26 %
Jan 2009	858.69	5.22 %
Feb 2009	943.00	9.82 %
Mar 2009	924.27	-1.99 %
Apr 2009	890.20	-3.69 %
May 2009	928.65	4.32 %
Jun 2009	945.67	1.83 %
Jul 2009	934.23	-1.21 %
Aug 2009	949.38	1.62 %
Sep 2009	996.59	4.97 %
Oct 2009	1,043.16	4.67 %
Nov 2009	1,127.04	8.04 %
Dec 2009	1,134.72	0.68 %
Jan 2010	1,117.96	-1.48 %
Feb 2010	1,095.41	-2.02 %
Mar 2010	1,113.34	1.64 %
Apr 2010	1,148.69	3.18 %
May 2010	1,205.43	4.94 %
Jun 2010	1,232.92	2.28 %
Jul 2010	1,192.97	-3.24 %
Aug 2010	1,215.81	1.91 %
Sep 2010	1,270.98	4.54 %
Oct 2010	1,342.02	5.59 %
Nov 2010	1,369.89	2.08 %
Dec 2010	1,390.55	1.51 %
Jan 2011	1,360.46	-2.16 %
Feb 2011	1,374.68	1.05 %
Mar 2011	1,423.26	3.53 %
Apr 2011	1,480.89	4.05 %
May 2011	1,512.58	2.14 %
Jun 2011	1,529.36	1.11 %
Jul 2011	1,572.75	2.84 %
Aug 2011	1,759.01	11.84 %
Sep 2011	1,772.14	0.75 %
Oct 2011	1,666.43	-5.97 %
Nov 2011	1,739.00	4.35 %
Dec 2011	1,639.97	-5.69 %
Jan 2012	1,654.05	0.86 %
Feb 2012	1,744.82	5.49 %
Mar 2012	1,675.95	-3.95 %
Apr 2012	1,649.20	-1.60 %
May 2012	1,589.04	-3.65 %
